col_name,data_type,comment
close_quarter,string,null
account_id,string,null
starting_vehicle_count,double,null
starting_vg_count,double,null
starting_cm_count,double,null
starting_fleet_arr,double,null
fleet_upsell_acv,double,null
vg_upsell_acv,double,null
cm_upsell_acv,double,null
vgcm_addon_upsell_acv,double,null
st_upsell_acv,double,null
flapps_upsell_acv,double,null
cc_upsell_acv,double,null
subsidy_acv,double,null
vg_upsell_qty,double,null
cm_upsell_qty,double,null
promo_upsell_qty,double,null
delinquent_acv,double,null
vg_delinquent_qty,double,null
cm_delinquent_qty,double,null
refund_acv,double,null
vg_refund_qty,double,null
cm_refund_qty,double,null
upsell_vehicle_count,double,null
upsell_vehicle_adds,double,null
upsell_fleet_arr,double,null
contra_vehicle_count,double,null
contra_vehicle_loss,double,null
contra_fleet_arr,double,null
account_name,string,null
segment,string,null
geo,string,null
director,string,null
industry,string,null
t_date,date,null
