col_name,data_type,comment
close_quarter,string,null
account_id,string,null
account_name,string,null
segment,string,null
geo,string,null
director,string,null
industry,string,null
close_week,string,null
wtd_avg_discount,double,null
fleet_acv,double,null
vgcm_acv,double,null
vgcm_core_acv,double,null
vg_core_acv,double,null
cm_core_acv,double,null
vgcm_addon_acv,double,null
st_acv,double,null
cc_acv,double,null
ahd1_acv,double,null
aim4_acv,double,null
moby_acv,double,null
flapps_acv,double,null
cnav_acv,double,null
ct_acv,double,null
cw_acv,double,null
fa_acv,double,null
cam_acv,double,null
qual_acv,double,null
rp_acv,double,null
sat_acv,double,null
other_acv,double,null
subsidy_acv,double,null
vehicle_count,double,null
vg_count,double,null
cm_count,double,null
st_count,double,null
cm_s_count,double,null
cm_d_count,double,null
cw_count,double,null
ct_count,double,null
cnav_count,double,null
fa_count,double,null
rp_count,double,null
qual_count,double,null
aim4_count,double,null
cam_count,double,null
moby_count,double,null
sat_count,double,null
ahd1_count,double,null
mrrpv,double,null
deal_category,string,null
pricing_category,string,null
contains_promo,boolean,null
buyout_amount,double,null
