col_name,data_type,comment
close_quarter,string,null
fiscal_quarter_start,string,null
account_id,string,null
account_name,string,null
segment,string,null
geo,string,null
fleet_arr,double,null
vgcm_arr,double,null
vgcm_core_arr,double,null
vg_core_arr,double,null
cm_core_arr,double,null
st_arr,double,null
other_arr,double,null
subsidy_arr,double,null
vehicle_count,double,null
total_vg,double,null
total_cm,double,null
total_st,double,null
total_cw,double,null
total_ct,double,null
total_cn,double,null
total_rp,double,null
total_am,double,null
total_q,double,null
first_purchase_quarter,string,null
fleet_mrrpv,double,null
prev_quarter_fleet_arr,double,null
prev_quarter_vehicle_count,double,null
account_category,string,null
